Nome do Local,Tipo de Comida,Avaliação,Preço,Localização,Maps Link,Recomendações de Pratos
"Aglio Pizzaria","Pizza","Bom","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Aglio%20Pizzaria%20Asa%20Norte%20Brasilia","Minha Sugestão: Carne Seca e Queijo Coalho"
"Alegro Pani e Caffe","Café","Bom","Preço Ok","Asa Norte, Sudoeste","https://www.google.com/maps/search/?api=1&query=Alegro%20Asa%20Norte%20Brasilia","Minha Sugestão: Toast Avocado/ Risoto"
"Apache","Hambúrguer","Ótimo","Preço Ok","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Apache%20Asa%20Norte%20Brasilia","Minha Sugestão: Wakanda/ Cherokee"
"Apache Parrila","Churrasco/Parrilla","Ótimo","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Apache%20Parrila%20Asa%20Sul%20Brasilia","Minha Sugestão: Costela Assada"
"Asa Gaúcha","Churrasco/Parrilla","Perfeito","Caro","Asa Norte","https://www.google.com/maps/search/?api=1&query=Asa%20Ga%C3%BAcha%20Asa%20Norte%20Brasilia","Minha Sugestão: Montar o Seu"
"Aspargus","Comida Dia a Dia","Ótimo","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Aspargus%20Asa%20Norte%20Brasilia","Minha Sugestão: Montar o Seu"
"Aussie Chicken","Hambúrguer","Ótimo","Barato","Lago Norte","https://www.google.com/maps/search/?api=1&query=Aussie%20Chicken%20Lago%20Norte%20Brasilia","Minha Sugestão: Tiras de Frango"
"Bahea","Regional","Ainda Não Fui","","Asa Norte","https://www.google.com/maps/search/?api=1&query=Bahea%20Asa%20Norte%20Brasilia","Minha Sugestão: "
"Beirute","Árabe","Bom","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Beirute%20Asa%20Norte%20Brasilia","Minha Sugestão: Parmegiana/ Arroz com Lentilha"
"Bellini","Café","Ótimo","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Bellini%20Asa%20Sul%20Brasilia","Minha Sugestão: Crepe Peito de Peru/ Risoto Frutos do Mar"
"Benedito","Hambúrguer","Bom","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Benedito%20Asa%20Norte%20Brasilia","Minha Sugestão: Juca Burguer"
"Biscoitos Mineiros","Café","Ótimo","Barato","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Biscoitos%20Mineiros%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Croissant Peito de Peru e Queijo/ Pão de Queijo Calabresa/ Coxinha"
"Bitaca","Regional","Ótimo","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Bitaca%20Asa%20Norte%20Brasilia","Minha Sugestão: Rabada/ Bolinho de Rabada/ Carne de Sol"
"Blue Sushi","Asiático","Bom","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Bluesushi%20Asa%20Norte%20Brasilia","Minha Sugestão: Tokoyama"
"Brunella","Comida Dia a Dia","Bom","Barato","Lago Norte","https://www.google.com/maps/search/?api=1&query=Brunella%20Lago%20Norte%20Brasilia","Minha Sugestão: Picadinho"
"BSB Grill","Churrasco/Parrilla","Perfeito","Muito Caro","Asa Norte","https://www.google.com/maps/search/?api=1&query=BSB%20Grill%20Asa%20Norte%20Brasilia","Minha Sugestão: Contra-Filé/ Assado de Tiras/ Esfirra"
